"rank","actual_gross($)","adjusted_gross($)","artist","tour_title","shows","average_gross($)","start_year","end_year"
1,"780000000","780000000","Taylor Swift","The Eras Tour",56,"13928571",2023,2024
3,"411000000","560622615","Madonna","Sticky & Sweet Tour",85,"4835294",2008,2009
4,"397300000","454751555","Pink","Beautiful Trauma World Tour",156,"2546795",2018,2019
7,"280000000","381932682","Celine Dion","Taking Chances World Tour",131,"2137405",2008,2009
8,"257600000","257600000","Pink","Summer Carnival",41,"6282927",2023,2024
11,"229100000","283202896","Beyoncé","The Mrs. Carter Show World Tour",132,"1735606",2013,2014
12,"227400000","295301479","Lady Gaga","The Monster Ball Tour",203,"1118227",2009,2011
13,"204000000","251856802","Katy Perry","Prismatic World Tour",151,"1350993",2014,2015
14,"200000000","299676265","Cher","Living Proof: The Farewell Tour",325,"615385",2002,2005
16,"184000000","227452347","Pink","The Truth About Love Tour",142,"1295775",2013,2014
17,"170000000","213568571","Lady Gaga","Born This Way Ball",98,"1734694",2012,2013
18,"169800000","207046755","Madonna","Rebel Heart Tour",82,"2070732",2015,2016
19,"167700000","204486106","Adele","Adele Live 2016",121,"1385950",2016,2017
20,"150000000","185423109","Taylor Swift","The Red Tour",86,"1744186",2013,2014
2,"579800000","579800000","Beyoncé","Renaissance World Tour",56,"10353571",2023,2023
5,"345675146","402844849","Taylor Swift","Reputation Stadium Tour",53,"6522173",2018,2018
6,"305158363","388978496","Madonna","The MDNA Tour",88,"3467709",2012,2012
9,"256084556","312258401","Beyoncé","The Formation World Tour",49,"5226215",2016,2016
10,"250400000","309141878","Taylor Swift","The 1989 World Tour",85,"2945882",2015,2015
15,"194000000","281617035","Madonna","Confessions Tour",60,"3233333",2006,2006
