"tour_title","artist","total_revenue"
"The Eras Tour","Taylor Swift","780000000"
"Renaissance World Tour","Beyoncé","579800000"
"Sticky & Sweet Tour","Madonna","411000000"
"Beautiful Trauma World Tour","Pink","397300000"
"Reputation Stadium Tour","Taylor Swift","345675146"
"The MDNA Tour","Madonna","305158363"
"Taking Chances World Tour","Celine Dion","280000000"
"Summer Carnival","Pink","257600000"
"The Formation World Tour","Beyoncé","256084556"
"The 1989 World Tour","Taylor Swift","250400000"
